Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
666,  100, 400, 600, 800, 479, 0, 0
2185, 0, 0, 0, 0, 4080, 0, 0
2214, 0, 0, 0, 0, 4108, 0, 0
2230, 0, 0, 0, 0, 4125, 0, 0
2244, 0, 0, 0, 0, 4141, 0, 0
2265, 0, 0, 0, 0, 4159, 0, 0
2280, 0, 0, 0, 0, 4174, 0, 0
2299, 0, 0, 0, 0, 4193, 0, 0
2310, 0, 0, 0, 0, 4208, 0, 0
2339, 0, 0, 0, 0, 4234, 0, 0
2344, 0, 0, 0, 0, 4242, 0, 0
2360, 0, 0, 0, 0, 4258, 0, 0
2379, 0, 0, 0, 0, 4282, 0, 0
2400, 0, 0, 0, 0, 4292, 0, 0
2414, 0, 0, 0, 0, 4308, 0, 0
2429, 0, 0, 0, 0, 4326, 0, 0
2445, 0, 0, 0, 0, 4341, 0, 0
2464, 0, 0, 0, 0, 4360, 0, 0
2480, 0, 0, 0, 0, 4374, 0, 0
2500, 0, 0, 0, 0, 4393, 0, 0
2509, 0, 0, 0, 0, 4408, 0, 0
2530, 0, 0, 0, 0, 4425, 0, 0
2549, 0, 0, 0, 0, 4443, 0, 0
2560, 0, 0, 0, 0, 4458, 0, 0
2580, 0, 0, 0, 0, 4477, 0, 0
2594, 0, 0, 0, 0, 4491, 0, 0
2615, 0, 0, 0, 0, 4511, 0, 0
2625, 0, 0, 0, 0, 4524, 0, 0
2644, 0, 0, 0, 0, 4542, 0, 0
2665, 0, 0, 0, 0, 4558, 0, 0
2679, 0, 0, 0, 0, 4574, 0, 0
2695, 0, 0, 0, 0, 4594, 0, 0
2715, 0, 0, 0, 0, 4608, 0, 0
2729, 0, 0, 0, 0, 4627, 0, 0
2745, 0, 0, 0, 0, 4642, 0, 0
2760, 0, 0, 0, 0, 4658, 0, 0
2780, 0, 0, 0, 0, 4677, 0, 0
2795, 0, 0, 0, 0, 4692, 0, 0
2809, 0, 0, 0, 0, 4708, 0, 0
2830, 0, 0, 0, 0, 4727, 0, 0
2845, 0, 0, 0, 0, 4741, 0, 0
2865, 0, 0, 0, 0, 4760, 0, 0
2875, 0, 0, 0, 0, 4775, 0, 0
2894, 0, 0, 0, 0, 4793, 0, 0
2915, 0, 0, 0, 0, 4810, 0, 0
2930, 0, 0, 0, 0, 4825, 0, 0
2945, 0, 0, 0, 0, 4841, 0, 0
2960, 0, 0, 0, 0, 4857, 0, 0
2984, 0, 0, 0, 0, 4878, 0, 0
2995, 0, 0, 0, 0, 4891, 0, 0
3010, 0, 0, 0, 0, 4909, 0, 0
3030, 0, 0, 0, 0, 4925, 0, 0
3045, 0, 0, 0, 0, 4940, 0, 0
3060, 0, 0, 0, 0, 4958, 0, 0
3080, 0, 0, 0, 0, 4977, 0, 0
3095, 0, 0, 0, 0, 4992, 0, 0
3109, 0, 0, 0, 0, 5007, 0, 0
3125, 0, 0, 0, 0, 5049, 0, 0
3154, 0, 0, 0, 0, 5052, 0, 0
3175, 0, 0, 0, 0, 5071, 0, 0
3190, 0, 0, 0, 0, 5086, 0, 0
3210, 0, 0, 0, 0, 5103, 0, 0
3225, 0, 0, 0, 0, 5121, 0, 0
3239, 0, 0, 0, 0, 5136, 0, 0
3255, 0, 0, 0, 0, 5154, 0, 0
3275, 0, 0, 0, 0, 5171, 0, 0
3290, 0, 0, 26, 0, 5188, 0, 0
3305, 0, 0, 25, 0, 5203, 0, 0
3325, 0, 0, 36, 0, 5221, 0, 0
3341, 0, 0, 43, 0, 5237, 0, 0
3360, 0, 0, 34, 0, 5253, 0, 0
3376, 0, 0, 54, 0, 5272, 0, 0
3386, 0, 0, 35, 0, 5286, 0, 0
3406, 0, 0, 55, 0, 5305, 0, 0
3426, 0, 0, 80, 0, 5320, 0, 0
3436, 0, 0, 113, 0, 5336, 0, 0
3457, 0, 0, 137, 0, 5355, 0, 0
3472, 0, 0, 147, 0, 5372, 0, 0
3492, 0, 0, 161, 0, 5386, 0, 0
3508, 0, 0, 166, 0, 5404, 0, 0
3523, 0, 0, 167, 0, 5421, 0, 0
3538, 0, 0, 177, 0, 5437, 0, 0
3559, 0, 0, 186, 0, 5455, 0, 0
3574, 0, 0, 205, 0, 5472, 0, 0
3594, 0, 0, 200, 0, 5489, 0, 0
3609, 0, 0, 210, 0, 5504, 0, 0
3624, 0, 0, 224, 0, 5522, 0, 0
3640, 0, 0, 236, 0, 5538, 0, 0
3655, 0, 0, 238, 0, 5553, 0, 0
3676, 0, 0, 244, 0, 5571, 0, 0
3691, 0, 0, 244, 0, 5586, 0, 0
3706, 0, 0, 242, 0, 5605, 0, 0
3722, 0, 0, 250, 0, 5621, 0, 0
3742, 0, 0, 257, 0, 5638, 0, 0
3758, 0, 0, 255, 0, 5654, 0, 0
3773, 0, 0, 254, 0, 5671, 0, 0
3792, 0, 0, 254, 0, 5688, 0, 0
3803, 0, 0, 257, 0, 5704, 0, 0
3823, 0, 0, 246, 0, 5722, 0, 0
3838, 0, 0, 250, 0, 5736, 0, 0
3854, 0, 0, 224, 0, 5752, 0, 0
3874, 0, 0, 179, 0, 5772, 0, 0
3890, 0, 0, 121, 0, 5786, 0, 0
3910, 0, 0, 27, 0, 5804, 0, 0
3924, 0, 0, 0, 0, 5821, 0, 0
3940, 0, 0, 0, 0, 5837, 0, 0
3955, 0, 0, 0, 0, 5854, 0, 0
3975, 0, 0, 0, 0, 5869, 0, 0
3990, 0, 0, 0, 0, 5888, 0, 0
4004, 0, 0, 0, 0, 5903, 0, 0
4025, 0, 0, 0, 0, 5919, 0, 0
4045, 0, 0, 0, 0, 5938, 0, 0
4060, 0, 0, 0, 0, 5955, 0, 0
4075, 0, 0, 0, 0, 5971, 0, 0
4090, 0, 0, 0, 0, 5986, 0, 0
4105, 0, 0, 0, 0, 6002, 0, 0
