Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #
666,  100, 400, 600, 800, 544, 0
666,  100, 400, 600, 800, 4082, 0
666,  100, 400, 600, 800, 4097, 0
666,  100, 400, 600, 800, 4115, 0
666,  100, 400, 600, 800, 4132, 0
666,  100, 400, 600, 800, 4153, 0
666,  100, 400, 600, 800, 4168, 0
666,  100, 400, 600, 800, 4182, 0
666,  100, 400, 600, 800, 4199, 0
666,  100, 400, 600, 800, 4216, 0
666,  100, 400, 600, 800, 4233, 0
666,  100, 400, 600, 800, 4249, 0
666,  100, 400, 600, 800, 4266, 0
666,  100, 400, 600, 800, 4282, 0
666,  100, 400, 600, 800, 4300, 0
666,  100, 400, 600, 800, 4315, 0
666,  100, 400, 600, 800, 4333, 0
666,  100, 400, 600, 800, 4349, 0
666,  100, 400, 600, 800, 4368, 0
666,  100, 400, 600, 800, 4382, 0
666,  100, 400, 600, 800, 4399, 0
666,  100, 400, 600, 800, 4417, 0
666,  100, 400, 600, 800, 4434, 0
666,  100, 400, 600, 800, 4450, 0
666,  100, 400, 600, 800, 4466, 0
666,  100, 400, 600, 800, 4482, 0
666,  100, 400, 600, 800, 4499, 0
666,  100, 400, 600, 800, 4516, 0
666,  100, 400, 600, 800, 4533, 0
666,  100, 400, 600, 800, 4550, 0
666,  100, 400, 600, 800, 4565, 0
666,  100, 400, 600, 800, 4584, 0
666,  100, 400, 600, 800, 4600, 0
666,  100, 400, 600, 800, 4617, 0
666,  100, 400, 600, 800, 4634, 0
666,  100, 400, 600, 800, 4650, 0
666,  100, 400, 600, 800, 4666, 0
666,  100, 400, 600, 800, 4683, 0
666,  100, 400, 600, 800, 4699, 0
666,  100, 400, 600, 800, 4717, 0
666,  100, 400, 600, 800, 4734, 0
666,  100, 400, 600, 800, 4751, 0
666,  100, 400, 600, 800, 4768, 0
666,  100, 400, 600, 800, 4784, 0
666,  100, 400, 600, 800, 4801, 0
666,  100, 400, 600, 800, 4817, 0
666,  100, 400, 600, 800, 4833, 0
666,  100, 400, 600, 800, 4851, 0
666,  100, 400, 600, 800, 4867, 0
666,  100, 400, 600, 800, 4884, 0
666,  100, 400, 600, 800, 4904, 0
666,  100, 400, 600, 800, 4916, 0
666,  100, 400, 600, 800, 4934, 0
666,  100, 400, 600, 800, 4949, 0
666,  100, 400, 600, 800, 4967, 0
666,  100, 400, 600, 800, 4984, 0
666,  100, 400, 600, 800, 5001, 0
666,  100, 400, 600, 800, 5017, 0
666,  100, 400, 600, 800, 5033, 0
666,  100, 400, 600, 800, 5049, 0
666,  100, 400, 600, 800, 5067, 0
666,  100, 400, 600, 800, 5084, 0
666,  100, 400, 600, 800, 5101, 0
666,  100, 400, 600, 800, 5118, 0
666,  100, 400, 600, 800, 5134, 0
666,  100, 400, 600, 800, 5151, 0
666,  100, 400, 600, 800, 5168, 0
666,  100, 400, 600, 800, 5185, 0
666,  100, 400, 600, 800, 5206, 0
666,  100, 400, 600, 800, 5224, 0
666,  100, 400, 600, 800, 5238, 0
666,  100, 400, 600, 800, 5251, 0
666,  100, 400, 600, 800, 5266, 0
666,  100, 400, 600, 800, 5283, 0
666,  100, 400, 600, 800, 5302, 0
666,  100, 400, 600, 800, 5318, 0
666,  100, 400, 600, 800, 5333, 0
666,  100, 400, 600, 800, 5350, 0
666,  100, 400, 600, 800, 5368, 0
666,  100, 400, 600, 800, 5384, 0
666,  100, 400, 600, 800, 5401, 0
666,  100, 400, 600, 800, 5416, 0
666,  100, 400, 600, 800, 5433, 0
666,  100, 400, 600, 800, 5449, 0
666,  100, 400, 600, 800, 5468, 0
